,Race Number,Track Surface,Inner/Outer Track,Racecourse Condition,Prize Pool,No. of Contestants,Track No.,Gender,Age,Weight,Net Weight,Weight Change,Popularity,Odds,Trainer,Grade,Time Residual,Date,Time,Name
25406,11,grass,left,average,0.0,14,7,female/mare,4,53.0,444.0,14.0,6,12.4,福島 信晴,B,1.4000000000000057,2013-06-30,69.0,アイラブリリ
3853,11,grass,right,average,0.0,16,3,female/mare,4,53.0,436.0,0.0,1,5.2,福島 信晴,B,-2.0999999999999943,2013-01-27,69.4,アイラブリリ
1624,11,grass,right,heavy,2100.0,16,5,female/mare,4,53.0,436.0,0.0,5,9.4,福島 信晴,B,0.7999999999999972,2013-01-14,70.2,アイラブリリ
32367,11,grass,right,average,0.0,15,1,female/mare,4,53.0,446.0,2.0,9,14.6,福島 信晴,B,1.2999999999999972,2013-08-18,67.2,アイラブリリ
11886,11,grass,left,average,0.0,17,16,female/mare,4,55.0,430.0,-6.0,15,213.6,福島 信晴,C,-1.2999999999999972,2013-03-24,68.8,アイラブリリ
726,1,dirt,right,average,0.0,16,10,male/stallion,3,56.0,510.0,0.0,15,244.6,小桧山 悟,D,-0.5999999999999943,2013-01-12,74.4,アインディアマント
8991,1,dirt,right,average,0.0,16,11,male/stallion,3,56.0,508.0,-2.0,10,100.0,小桧山 悟,C,1.4000000000000057,2013-03-09,74.6,アインディアマント
14546,10,grass,right,average,0.0,16,15,female/mare,3,54.0,386.0,0.0,14,53.8,清水 美波,C,-0.19999999999998863,2013-04-14,72.1,アウトイン
2690,1,dirt,right,heavy,500.0,16,8,female/mare,3,52.0,402.0,-8.0,6,16.1,清水 美波,B,-3.4000000000000057,2013-01-14,73.7,アウトイン
11659,8,dirt,right,average,0.0,16,12,male/stallion,7,57.0,506.0,4.0,7,9.8,宗像 義忠,C,0.8999999999999915,2013-03-24,73.6,アウトオブオーダー
32191,11,dirt,left,average,500.0,14,13,male/stallion,8,56.0,482.0,0.0,3,6.9,宮 徹,B,1.4000000000000057,2013-08-18,70.1,アウトクラトール
1632,11,grass,right,heavy,0.0,16,9,male/stallion,8,56.0,486.0,6.0,16,135.3,宮 徹,C,0.9000000000000057,2013-01-14,70.7,アウトクラトール
16477,11,grass,right,average,2100.0,16,2,male/stallion,8,56.0,482.0,-4.0,15,65.6,宮 徹,B,-6.3999999999999915,2013-04-28,68.2,アウトクラトール
13653,11,grass,right,somewhat heavy,0.0,16,6,male/stallion,8,56.0,486.0,0.0,15,114.4,宮 徹,B,0.5,2013-04-07,70.4,アウトクラトール
516,11,dirt,right,average,0.0,16,13,male/stallion,8,55.0,480.0,-4.0,16,111.1,宮 徹,C,-2.5,2013-01-06,71.0,アウトクラトール
23077,11,grass,right,average,0.0,16,7,male/stallion,8,56.0,484.0,2.0,13,81.4,宮 徹,B,2.8999999999999915,2013-06-16,68.9,アウトクラトール
8683,5,dirt,right,somewhat heavy,0.0,10,5,female/mare,3,54.0,454.0,10.0,5,9.1,安田 隆行,B,0.9000000000000057,2013-03-03,75.2,アウトシャイン
27883,12,grass,left,average,0.0,18,6,female/mare,3,52.0,450.0,-4.0,3,12.9,安田 隆行,B,-1.0,2013-07-20,70.6,アウトシャイン
35833,12,grass,right,heavy,0.0,16,8,female/mare,3,53.0,464.0,2.0,2,5.7,安田 隆行,B,-2.4000000000000057,2013-09-15,70.7,アウトシャイン
30957,7,grass,right,average,0.0,16,11,gelding,4,54.0,510.0,10.0,15,231.8,伊藤 正徳,B,0.0,2013-08-11,72.6,アウルム
15036,7,grass,right,average,0.0,16,4,female/mare,4,55.0,446.0,0.0,12,178.1,西橋 豊治,D,-0.5,2013-04-20,70.1,アカネチャン
17679,9,grass,left,average,0.0,16,5,female/mare,4,55.0,446.0,0.0,13,117.2,西橋 豊治,C,3.0,2013-05-05,69.4,アカネチャン
11990,6,grass,right,average,175.0,12,6,female/mare,3,54.0,444.0,0.0,8,30.2,清水 久詞,B,2.799999999999997,2013-03-24,69.7,アカノジュウロク
9415,6,grass,right,average,0.0,12,11,female/mare,3,54.0,444.0,-2.0,10,50.7,清水 久詞,B,0.5,2013-03-09,70.3,アカノジュウロク
19609,6,grass,right,average,0.0,16,6,female/mare,3,54.0,446.0,2.0,6,12.6,清水 久詞,B,-1.4000000000000057,2013-05-18,70.1,アカノジュウロク
27878,12,grass,left,average,0.0,18,3,female/mare,3,52.0,440.0,-6.0,9,33.4,清水 久詞,B,1.0,2013-07-20,69.9,アカノジュウロク
12992,3,dirt,right,somewhat heavy,0.0,16,3,male/stallion,3,56.0,450.0,8.0,10,40.2,大和田 成,C,1.6000000000000085,2013-04-06,74.0,アキノアッパー
1657,1,dirt,right,heavy,200.0,16,7,female/mare,3,54.0,456.0,2.0,2,4.0,大和田 成,C,-2.9000000000000057,2013-01-19,73.5,アキノディフェンス
1,1,dirt,right,average,200.0,16,4,female/mare,3,54.0,454.0,-2.0,7,44.1,大和田 成,C,0.9000000000000057,2013-01-05,73.6,アキノディフェンス
12113,2,dirt,right,average,0.0,16,3,female/mare,3,54.0,450.0,0.0,7,13.8,大和田 成,B,0.7999999999999972,2013-03-30,74.4,アキノディフェンス
9667,12,dirt,right,average,99.0,16,7,male/stallion,5,57.0,520.0,0.0,6,21.2,中村 均,C,1.1999999999999886,2013-03-10,72.0,アキノモーグル
3352,12,dirt,right,average,0.0,13,11,male/stallion,5,57.0,524.0,2.0,4,8.4,中村 均,B,2.8999999999999915,2013-01-26,72.7,アキノモーグル
12246,12,dirt,right,average,148.5,16,10,male/stallion,5,57.0,520.0,0.0,4,10.5,中村 均,B,-1.0,2013-03-30,71.6,アキノモーグル
18219,11,dirt,left,somewhat heavy,320.0,15,12,male/stallion,5,57.0,522.0,2.0,3,7.0,中村 均,B,0.09999999999999432,2013-05-11,71.2,アキノモーグル
1083,12,dirt,right,average,148.5,16,16,male/stallion,5,57.0,522.0,4.0,6,17.8,中村 均,B,-0.7000000000000028,2013-01-12,72.0,アキノモーグル
23990,3,grass,right,average,184.0,16,8,female/mare,3,54.0,450.0,-4.0,15,154.6,千田 輝彦,C,0.8000000000000114,2013-06-23,70.4,アギャント
