,Race Number,Track Surface,Inner/Outer Track,Racecourse Condition,Prize Pool,No. of Contestants,Track No.,Gender,Age,Weight,Net Weight,Weight Change,Popularity,Odds,Trainer,Grade,Time Residual,Date,Time,Name
35686,2,dirt,right,somewhat heavy,0.0,16,2,female/mare,3,53.0,452.0,10.0,16,432.3,加藤 敬二,C,-0.5999999999999943,2013-09-15,74.5,キャロルハット
4075,3,dirt,left,average,100.5,14,1,female/mare,6,55.0,488.0,0.0,6,9.7,飯田 明弘,B,-0.5,2013-02-02,73.2,キャロルロゼ
2430,4,dirt,left,average,268.0,16,5,female/mare,6,55.0,488.0,8.0,5,12.4,飯田 明弘,B,0.09999999999999432,2013-01-20,73.3,キャロルロゼ
18158,6,dirt,left,average,0.0,15,4,female/mare,6,55.0,478.0,-10.0,8,16.4,飯田 明弘,C,2.0,2013-05-11,72.9,キャロルロゼ
8324,5,grass,right,average,50.0,18,3,female/mare,3,54.0,444.0,-6.0,2,3.7,中尾 秀正,B,-1.5999999999999943,2013-03-02,70.5,キュールエアリス
23994,3,grass,right,average,0.0,16,5,female/mare,3,54.0,442.0,4.0,3,5.5,中尾 秀正,C,-0.20000000000000284,2013-06-23,70.9,キュールエアリス
9170,1,dirt,left,average,0.0,16,14,female/mare,3,54.0,438.0,-4.0,15,326.4,武市 康男,C,-0.7999999999999972,2013-03-09,76.1,キョウエイアンジュ
12968,1,dirt,right,somewhat heavy,0.0,16,1,female/mare,3,54.0,444.0,6.0,12,264.0,武市 康男,B,-1.7999999999999972,2013-04-06,76.0,キョウエイアンジュ
509,11,dirt,right,average,2000.0,16,15,female/mare,6,52.0,482.0,-8.0,13,53.4,矢作 芳人,B,0.7000000000000028,2013-01-06,70.5,キョウエイカルラ
25562,1,grass,right,average,125.0,14,3,female/mare,2,54.0,426.0,-4.0,3,5.1,武藤 善則,B,-0.7000000000000028,2013-07-06,70.1,キョウエイダルク
1093,12,dirt,right,average,0.0,16,10,male/stallion,5,57.0,520.0,16.0,10,53.6,矢作 芳人,D,1.2000000000000028,2013-01-12,72.8,キョウエイバサラ
2008,11,grass,left,average,128.0,18,4,male/stallion,5,57.0,520.0,0.0,16,57.2,矢作 芳人,C,1.0999999999999943,2013-01-19,69.6,キョウエイバサラ
31389,12,grass,right,average,0.0,18,1,male/stallion,3,54.0,456.0,6.0,9,67.6,五十嵐 忠男,C,-5.5,2013-08-11,70.5,キョウワアーサー
3227,2,dirt,right,somewhat heavy,75.0,14,13,male/stallion,3,56.0,458.0,0.0,1,1.7,五十嵐 忠男,B,-1.5,2013-01-26,74.6,キョウワアーサー
1487,2,dirt,right,heavy,200.0,16,12,male/stallion,3,56.0,458.0,0.0,10,89.1,五十嵐 忠男,C,-0.5999999999999943,2013-01-14,71.9,キョウワアーサー
4691,1,dirt,right,average,125.0,14,4,male/stallion,3,56.0,456.0,-2.0,2,4.9,五十嵐 忠男,B,-0.10000000000000853,2013-02-03,73.8,キョウワアーサー
13691,2,dirt,right,bad,500.0,16,5,male/stallion,3,56.0,450.0,-2.0,2,2.5,五十嵐 忠男,B,1.5,2013-04-07,71.9,キョウワアーサー
30720,1,grass,right,average,0.0,18,15,male/stallion,2,54.0,500.0,-4.0,9,79.1,飯田 雄三,B,-0.20000000000000284,2013-08-10,71.6,キョウワコクリコ
35333,2,grass,right,average,50.0,14,1,female/mare,2,54.0,446.0,-8.0,3,4.2,千田 輝彦,B,3.799999999999997,2013-09-14,69.8,キョウワジュネス
32371,11,grass,right,average,0.0,15,10,male/stallion,6,55.0,534.0,-4.0,10,15.1,角田 晃一,B,-0.8000000000000114,2013-08-18,67.5,キョウワマグナム
16492,11,grass,right,average,0.0,16,7,male/stallion,6,56.0,530.0,-6.0,9,24.4,角田 晃一,B,0.4000000000000057,2013-04-28,69.5,キョウワマグナム
25404,11,grass,left,average,0.0,14,11,male/stallion,6,55.0,538.0,8.0,10,58.7,角田 晃一,B,-0.7999999999999972,2013-06-30,68.8,キョウワマグナム
30816,7,grass,right,average,0.0,18,3,male/stallion,3,56.0,472.0,6.0,12,63.2,飯田 雄三,C,-0.19999999999998863,2013-08-10,71.4,キョウワリスキー
16941,5,grass,right,average,200.0,16,6,male/stallion,3,53.0,466.0,0.0,14,74.4,飯田 雄三,C,-1.3000000000000114,2013-04-29,70.5,キョウワリスキー
19768,5,grass,left,average,0.0,16,8,male/stallion,3,53.0,466.0,0.0,12,28.8,飯田 雄三,B,-1.3999999999999915,2013-05-19,70.8,キョウワリスキー
19056,7,dirt,right,somewhat heavy,108.0,15,11,male/stallion,4,57.0,502.0,4.0,8,11.3,飯田 雄三,C,1.5,2013-05-12,72.0,キョウワリベラル
16221,5,grass,right,average,0.0,18,9,female/mare,3,54.0,432.0,-6.0,9,22.5,荒川 義之,C,-0.7999999999999972,2013-04-27,70.9,キラキラムーン
13695,2,dirt,right,bad,50.0,16,6,female/mare,3,54.0,438.0,-8.0,9,92.3,荒川 義之,C,-2.1000000000000085,2013-04-07,73.1,キラキラムーン
32852,9,grass,right,somewhat heavy,350.0,18,2,male/stallion,2,53.0,482.0,2.0,4,14.4,橋口 弘次郎,B,0.09999999999999432,2013-08-24,69.4,キリシマホーマ
30709,1,grass,right,average,200.0,18,17,male/stallion,2,54.0,480.0,2.0,7,37.5,橋口 弘次郎,C,-0.30000000000001137,2013-08-10,69.7,キリシマホーマ
32862,9,grass,right,somewhat heavy,0.0,18,5,female/mare,2,53.0,436.0,2.0,17,430.6,石毛 善彦,D,-0.8999999999999915,2013-08-24,71.2,キリシマムスメ
30717,1,grass,right,average,0.0,18,10,female/mare,2,54.0,434.0,-10.0,15,382.1,石毛 善彦,D,1.3000000000000114,2013-08-10,71.0,キリシマムスメ
23801,1,dirt,right,bad,0.0,16,13,male/stallion,3,53.0,494.0,-2.0,8,28.2,岩元 市三,C,0.7999999999999972,2013-06-22,72.7,キリノトップラン
19730,3,dirt,left,average,0.0,15,5,male/stallion,3,56.0,496.0,2.0,4,7.3,岩元 市三,C,-0.7999999999999972,2013-05-19,74.4,キリノトップラン
18466,3,dirt,right,average,50.0,16,12,male/stallion,3,56.0,494.0,-4.0,5,11.0,岩元 市三,B,-2.3999999999999915,2013-05-11,73.3,キリノトップラン
924,2,dirt,right,average,75.0,16,1,male/stallion,3,56.0,498.0,0.0,10,92.4,岩元 市三,C,-0.7000000000000028,2013-01-12,73.9,キリノトップラン
23939,11,dirt,right,heavy,0.0,15,14,male/stallion,7,57.0,490.0,12.0,6,13.0,小崎 憲,B,-0.20000000000000284,2013-06-22,70.7,キングオブヘイロー
29661,11,dirt,left,somewhat heavy,0.0,15,7,male/stallion,7,57.0,488.0,-4.0,9,17.2,小崎 憲,B,-0.19999999999998863,2013-08-03,71.7,キングオブヘイロー
2839,10,grass,right,average,0.0,15,13,male/stallion,4,56.0,490.0,0.0,3,5.9,伊藤 伸一,B,-0.7000000000000028,2013-01-21,70.0,キングオブロー
1218,8,dirt,right,average,0.0,16,4,male/stallion,7,54.0,476.0,6.0,16,427.6,星野 忍,C,-0.29999999999999716,2013-01-13,75.5,キングスウィープ
11489,8,dirt,right,average,0.0,16,10,male/stallion,4,57.0,510.0,-6.0,15,119.5,的場 均,C,-2.299999999999997,2013-03-23,72.7,キングスバーン
34031,6,grass,right,heavy,72.0,16,10,male/stallion,3,54.0,480.0,2.0,9,23.9,藤沢 則雄,C,1.2999999999999972,2013-09-01,75.0,キングズウェザー
25031,9,grass,right,average,0.0,16,3,male/stallion,3,53.0,494.0,0.0,8,22.6,藤沢 則雄,C,-1.4000000000000057,2013-06-30,69.8,キングズウェザー
32984,7,grass,right,somewhat heavy,108.0,16,5,male/stallion,3,54.0,478.0,-6.0,7,22.9,藤沢 則雄,C,-0.30000000000001137,2013-08-25,73.0,キングズウェザー
34815,12,dirt,right,somewhat heavy,72.0,16,15,male/stallion,3,55.0,438.0,6.0,9,18.5,平田 修,B,-0.10000000000000853,2013-09-07,71.6,キングソング
33772,12,dirt,left,somewhat heavy,0.0,15,14,male/stallion,4,56.0,468.0,-4.0,12,220.1,水野 貴広,C,-5.299999999999997,2013-08-31,72.6,キングビート
30634,8,dirt,left,average,0.0,15,7,male/stallion,4,54.0,438.0,0.0,15,465.4,伊藤 圭三,C,-0.5,2013-08-10,71.9,キングモンブラン
35308,12,dirt,right,average,0.0,16,13,male/stallion,4,54.0,436.0,-2.0,13,136.0,伊藤 圭三,C,-2.5,2013-09-14,73.3,キングモンブラン
3848,11,grass,right,average,0.0,16,2,male/stallion,6,54.0,516.0,-2.0,13,48.7,堀 宣行,B,-1.3999999999999915,2013-01-27,68.9,キングレオポルド
35469,12,dirt,right,average,720.0,16,2,male/stallion,4,57.0,484.0,4.0,1,2.2,浅見 秀一,B,1.0,2013-09-14,72.5,キンシザイル
23448,12,dirt,right,heavy,0.0,16,12,male/stallion,4,57.0,488.0,6.0,1,2.8,浅見 秀一,B,-0.7000000000000028,2013-06-16,71.6,キンシザイル
9993,12,dirt,right,average,99.0,15,6,male/stallion,4,57.0,488.0,0.0,4,6.3,浅見 秀一,C,4.6000000000000085,2013-03-10,72.5,キンシザイル
7737,12,dirt,right,average,0.0,16,3,male/stallion,4,57.0,488.0,-2.0,1,3.3,浅見 秀一,B,-0.9000000000000057,2013-02-24,72.2,キンシザイル
1092,12,dirt,right,average,0.0,16,6,male/stallion,4,56.0,490.0,0.0,1,1.9,浅見 秀一,B,-1.6000000000000085,2013-01-12,72.5,キンシザイル
27731,3,dirt,left,average,69.0,16,3,male/stallion,3,56.0,516.0,8.0,2,5.0,浅見 秀一,B,1.4000000000000057,2013-07-20,72.8,キンシジェネラル
20445,1,dirt,right,average,0.0,16,11,male/stallion,3,56.0,508.0,-10.0,1,1.9,浅見 秀一,B,-0.09999999999999432,2013-05-25,74.1,キンシジェネラル
10982,7,dirt,right,average,0.0,16,6,male/stallion,4,57.0,486.0,-6.0,16,544.4,浅見 秀一,C,-0.5999999999999943,2013-03-17,74.4,キンシツーストン
4125,6,dirt,left,average,0.0,14,4,male/stallion,4,57.0,482.0,0.0,14,253.3,浅見 秀一,C,1.8999999999999915,2013-02-02,74.9,キンシツーストン
32220,1,grass,right,average,500.0,12,6,male/stallion,2,54.0,464.0,-12.0,1,1.6,浅見 秀一,B,-2.799999999999997,2013-08-18,68.8,キンシノキセキ
35940,9,grass,right,average,600.0,10,9,male/stallion,2,54.0,468.0,4.0,1,1.8,浅見 秀一,B,-0.7999999999999972,2013-09-17,69.5,キンシノキセキ
23881,7,dirt,right,heavy,0.0,16,11,female/mare,4,53.0,478.0,6.0,14,202.5,中村 均,B,-0.09999999999999432,2013-06-22,72.3,キンショーキラ
18729,8,dirt,left,somewhat heavy,0.0,15,9,female/mare,4,53.0,472.0,-14.0,10,34.6,中村 均,B,0.09999999999999432,2013-05-12,73.5,キンショーキラ
13419,7,grass,right,heavy,0.0,16,16,male/stallion,4,57.0,464.0,-23.0,16,374.7,星野 忍,C,1.3000000000000114,2013-04-07,72.8,キンショーダイシ
22574,9,grass,right,somewhat heavy,0.0,16,14,male/stallion,4,57.0,484.0,6.0,16,218.4,星野 忍,C,-0.29999999999999716,2013-06-15,71.4,キンショーダイシ
13667,12,dirt,right,heavy,0.0,16,6,male/stallion,5,57.0,506.0,-8.0,8,24.9,田島 俊明,B,0.4000000000000057,2013-04-07,73.1,キンショーユウジャ
846,9,dirt,right,average,0.0,16,14,male/stallion,5,57.0,514.0,-2.0,10,43.6,田島 俊明,B,0.10000000000000853,2013-01-12,72.2,キンショーユウジャ
20108,3,dirt,right,average,75.0,16,8,female/mare,3,54.0,480.0,-6.0,11,66.0,宮 徹,C,0.09999999999999432,2013-05-19,73.5,キークッキー
32909,12,grass,right,heavy,0.0,18,16,female/mare,3,52.0,486.0,-1.0,9,35.5,宮 徹,C,-0.8999999999999915,2013-08-24,69.7,キークッキー
3045,1,dirt,left,somewhat heavy,0.0,16,9,female/mare,3,54.0,406.0,-20.0,11,89.9,畠山 吉宏,C,1.4000000000000057,2013-01-26,78.0,キーナー
8301,3,grass,right,average,0.0,18,17,female/mare,3,54.0,410.0,4.0,18,430.4,畠山 吉宏,C,1.6000000000000085,2013-03-02,72.4,キーナー
29970,9,grass,right,average,0.0,16,2,female/mare,4,54.0,460.0,-4.0,6,11.2,高柳 瑞樹,B,0.7000000000000028,2013-08-04,70.8,キーパップ
7852,8,grass,right,average,670.0,18,16,female/mare,4,52.0,466.0,-4.0,8,26.0,高柳 瑞樹,C,-5.599999999999994,2013-02-24,68.7,キーパップ
23031,8,grass,right,average,0.0,16,10,female/mare,4,53.0,464.0,2.0,3,6.9,高柳 瑞樹,B,2.5999999999999943,2013-06-16,69.0,キーパップ
2144,7,dirt,right,somewhat heavy,0.0,16,12,male/stallion,4,56.0,496.0,-2.0,16,328.3,目野 哲也,B,-1.0,2013-01-19,75.4,キーメール
17570,1,dirt,left,average,0.0,15,4,female/mare,3,51.0,446.0,-6.0,14,233.8,根本 康広,B,1.2999999999999972,2013-05-05,76.3,ギンザクイーン
33087,2,dirt,left,somewhat heavy,0.0,15,13,female/mare,3,54.0,452.0,8.0,15,462.8,矢野 照正,C,0.3999999999999915,2013-08-25,75.9,ギンノクツワ
381,1,dirt,right,average,0.0,16,3,male/stallion,3,53.0,512.0,6.0,8,92.5,金成 貴史,C,-4.0,2013-01-06,78.4,ギンヤンマ
7955,2,dirt,right,bad,0.0,16,4,male/stallion,3,53.0,498.0,-14.0,11,115.4,金成 貴史,C,-0.6999999999999886,2013-03-02,74.8,ギンヤンマ
6855,8,grass,right,average,0.0,18,6,female/mare,6,55.0,444.0,-4.0,12,40.0,小西 一男,B,1.7999999999999972,2013-02-17,68.9,クィンビークイーン
14040,12,grass,right,average,0.0,16,13,female/mare,6,55.0,448.0,6.0,10,47.8,小西 一男,C,0.5,2013-04-13,70.1,クィンビークイーン
8907,8,grass,right,average,0.0,18,18,female/mare,6,55.0,442.0,-2.0,10,23.5,小西 一男,B,-0.20000000000000284,2013-03-03,69.5,クィンビークイーン
4773,7,dirt,right,average,108.0,10,3,female/mare,5,55.0,544.0,26.0,2,3.9,音無 秀孝,B,-1.7000000000000028,2013-02-03,74.1,クィーンオブライフ
6143,7,dirt,right,heavy,0.0,16,15,female/mare,5,55.0,540.0,-4.0,3,7.4,音無 秀孝,B,-0.20000000000000284,2013-02-16,74.4,クィーンオブライフ
12990,3,dirt,right,somewhat heavy,75.0,16,13,male/stallion,3,56.0,462.0,-4.0,5,18.7,萱野 浩二,C,-4.799999999999997,2013-04-06,73.8,クイックスパイダー
722,1,dirt,right,average,50.0,16,11,male/stallion,3,56.0,464.0,-2.0,3,4.8,萱野 浩二,B,0.4000000000000057,2013-01-12,74.1,クイックスパイダー
18650,3,dirt,left,somewhat heavy,125.0,15,8,male/stallion,3,56.0,458.0,-6.0,5,14.6,萱野 浩二,B,-0.8999999999999915,2013-05-12,73.2,クイックスパイダー
19728,3,dirt,left,average,75.0,15,12,male/stallion,3,56.0,458.0,0.0,5,7.9,萱野 浩二,C,0.30000000000001137,2013-05-19,74.1,クイックスパイダー
9414,6,grass,right,average,0.0,12,2,female/mare,3,54.0,408.0,-4.0,9,31.8,鈴木 孝志,C,-1.3999999999999915,2013-03-09,70.1,クインスウィーティ
16765,6,grass,right,average,280.0,18,12,female/mare,3,54.0,412.0,2.0,17,266.8,鈴木 孝志,C,-3.8999999999999915,2013-04-28,69.4,クインスウィーティ
11993,6,grass,right,average,0.0,12,3,female/mare,3,54.0,406.0,-2.0,7,29.2,鈴木 孝志,B,-1.1000000000000085,2013-03-24,70.0,クインスウィーティ
19607,6,grass,right,average,0.0,16,9,female/mare,3,54.0,418.0,6.0,10,23.6,鈴木 孝志,C,-1.8999999999999915,2013-05-18,69.9,クインスウィーティ
33599,1,dirt,left,heavy,125.0,15,15,male/stallion,2,54.0,484.0,2.0,2,4.0,松山 康久,B,2.200000000000003,2013-08-31,72.9,クインズセブン
23992,3,grass,right,average,69.0,16,16,female/mare,3,54.0,440.0,-20.0,8,35.9,岩元 市三,C,2.1999999999999886,2013-06-23,70.8,クインポルカ
26939,5,grass,right,average,0.0,16,3,female/mare,3,54.0,448.0,8.0,9,24.8,岩元 市三,B,1.0,2013-07-14,70.9,クインポルカ
28827,9,grass,right,average,0.0,15,2,female/mare,3,52.0,486.0,-2.0,14,347.2,東 眞市,B,1.0,2013-07-27,68.5,クオーレフォルテ
31840,10,grass,right,average,0.0,18,14,female/mare,3,52.0,486.0,0.0,18,485.3,東 眞市,B,-1.5,2013-08-17,68.6,クオーレフォルテ
11127,7,dirt,right,average,0.0,16,9,female/mare,6,55.0,484.0,-4.0,16,287.2,高市 圭二,C,-2.200000000000003,2013-03-23,74.0,クナンガン
5014,1,dirt,right,somewhat heavy,125.0,16,10,male/stallion,3,56.0,506.0,2.0,2,5.5,梅田 康雄,C,0.0,2013-02-09,74.0,クニサキゼブライカ
9693,2,dirt,left,average,125.0,16,5,male/stallion,3,56.0,502.0,-4.0,1,1.7,梅田 康雄,B,0.20000000000000284,2013-03-10,74.2,クニサキゼブライカ
31874,12,grass,right,average,0.0,18,5,male/stallion,4,57.0,464.0,10.0,13,135.6,日吉 正和,C,0.29999999999999716,2013-08-17,69.2,クラウンエンビー
14480,6,grass,right,average,0.0,16,1,male/stallion,4,57.0,458.0,0.0,4,13.9,日吉 正和,C,1.2000000000000028,2013-04-14,70.8,クラウンエンビー
7406,12,grass,right,average,0.0,18,1,male/stallion,4,57.0,458.0,2.0,5,14.3,日吉 正和,B,-4.5,2013-02-23,68.6,クラウンエンビー
31385,12,grass,right,average,0.0,18,18,male/stallion,4,57.0,480.0,-8.0,15,138.1,大根田 裕之,B,0.09999999999999432,2013-08-11,69.0,クラウンカイザー
10977,7,dirt,right,average,0.0,16,12,male/stallion,4,57.0,490.0,-6.0,11,29.1,大根田 裕之,C,6.0,2013-03-17,73.1,クラウンカイザー
6300,7,grass,right,average,167.5,18,15,male/stallion,4,57.0,498.0,10.0,5,8.7,大根田 裕之,C,-1.2000000000000028,2013-02-16,68.8,クラウンカイザー
19275,9,dirt,left,average,0.0,15,6,male/stallion,4,57.0,488.0,-2.0,3,8.4,大根田 裕之,B,0.6999999999999886,2013-05-18,75.9,クラウンカイザー
8909,8,grass,right,average,0.0,18,6,male/stallion,4,57.0,496.0,-2.0,3,5.0,大根田 裕之,B,0.0,2013-03-03,69.6,クラウンカイザー
14248,3,dirt,right,average,0.0,16,15,male/stallion,3,56.0,458.0,2.0,6,27.1,大根田 裕之,D,0.6000000000000085,2013-04-13,74.3,クラウンシュバルツ
29310,8,grass,right,average,0.0,18,10,male/stallion,3,54.0,462.0,-3.0,18,319.4,大根田 裕之,B,0.19999999999998863,2013-07-28,68.8,クラウンシュバルツ
8294,3,grass,right,average,0.0,18,15,male/stallion,3,56.0,456.0,2.0,7,19.7,大根田 裕之,B,1.3999999999999915,2013-03-02,70.7,クラウンシュバルツ
26546,2,grass,right,average,69.0,16,6,male/stallion,3,56.0,472.0,-4.0,1,4.6,菊川 正達,B,0.29999999999999716,2013-07-13,70.7,クラウンストラーダ
13937,6,grass,right,average,125.0,16,12,male/stallion,3,53.0,478.0,-2.0,5,13.0,菊川 正達,C,0.5999999999999943,2013-04-13,70.5,クラウンストラーダ
30712,1,grass,right,average,50.0,18,5,female/mare,2,54.0,436.0,-2.0,2,3.4,小野 次郎,B,0.20000000000000284,2013-08-10,70.3,クラウンデュナミス
27032,1,grass,right,somewhat heavy,200.0,11,4,female/mare,2,54.0,438.0,-6.0,2,4.0,小野 次郎,B,-1.3999999999999915,2013-07-14,71.4,クラウンデュナミス
5812,9,grass,right,average,0.0,18,14,female/mare,5,55.0,432.0,-4.0,17,158.6,小野 次郎,C,-0.6999999999999886,2013-02-10,69.5,クラウンハッピー
35481,12,dirt,right,average,0.0,16,10,female/mare,3,53.0,456.0,-16.0,14,274.5,日吉 正和,C,-2.200000000000003,2013-09-14,74.5,クラウンビション
32616,6,dirt,left,heavy,46.0,15,7,male/stallion,3,56.0,444.0,-2.0,3,5.3,小野 次郎,D,-0.10000000000000853,2013-08-24,72.7,クラウンプルートゥ
29033,3,dirt,left,somewhat heavy,69.0,15,1,male/stallion,3,56.0,446.0,-14.0,4,10.6,小野 次郎,B,2.5999999999999943,2013-07-28,73.3,クラウンプルートゥ
19729,3,dirt,left,average,50.0,15,2,male/stallion,3,56.0,456.0,-4.0,2,4.5,小野 次郎,B,0.6999999999999886,2013-05-19,74.2,クラウンプルートゥ
4,1,dirt,right,average,50.0,16,10,male/stallion,3,56.0,462.0,2.0,3,6.1,小野 次郎,B,-1.3000000000000114,2013-01-05,74.3,クラウンプルートゥ
28211,1,dirt,left,average,0.0,16,7,female/mare,2,54.0,448.0,-2.0,8,50.4,中竹 和也,B,0.10000000000000853,2013-07-21,75.6,クラウンマリリン
9596,7,dirt,right,average,108.0,16,6,female/mare,5,55.0,494.0,8.0,9,33.6,松永 康利,C,4.0,2013-03-10,74.4,クラウンリバー
2437,4,dirt,left,average,0.0,16,13,female/mare,5,55.0,486.0,-2.0,14,191.9,松永 康利,C,-0.20000000000000284,2013-01-20,73.8,クラウンリバー
30803,7,grass,right,average,46.0,18,14,female/mare,3,54.0,428.0,-10.0,3,9.2,大久保 龍志,A,0.0,2013-08-10,69.6,クラシカルバリュー
34828,1,grass,right,average,200.0,12,2,female/mare,2,54.0,432.0,-8.0,3,6.1,粕谷 昌央,B,-0.4000000000000057,2013-09-08,69.7,クラシックマーク
24456,1,grass,right,average,0.0,12,12,male/stallion,2,54.0,480.0,-4.0,12,179.6,高橋 裕,B,0.5,2013-06-29,73.4,クラシックヤンキー
35955,10,dirt,right,somewhat heavy,0.0,14,13,male/stallion,8,57.0,496.0,8.0,5,14.5,小西 一男,B,-1.7000000000000028,2013-09-17,72.3,クラッチヒット
13664,12,dirt,right,heavy,0.0,16,8,male/stallion,8,57.0,484.0,-10.0,10,32.5,小西 一男,C,-0.9000000000000057,2013-04-07,72.4,クラッチヒット
29141,9,dirt,left,somewhat heavy,0.0,15,3,male/stallion,8,57.0,488.0,4.0,7,26.7,小西 一男,B,-0.7999999999999972,2013-07-28,72.2,クラッチヒット
14893,10,dirt,right,average,261.0,16,15,male/stallion,5,57.0,512.0,-4.0,6,14.6,木原 一良,C,0.4000000000000057,2013-04-14,72.1,クランチタイム
23935,11,dirt,right,heavy,696.0,15,15,male/stallion,5,57.0,506.0,4.0,4,8.4,木原 一良,B,0.7999999999999972,2013-06-22,70.5,クランチタイム
12550,9,dirt,right,average,174.0,16,2,male/stallion,5,57.0,516.0,14.0,10,24.7,木原 一良,B,0.7000000000000028,2013-03-31,71.7,クランチタイム
34835,1,grass,right,average,0.0,12,1,female/mare,2,54.0,416.0,6.0,10,134.0,岩戸 孝樹,C,-0.29999999999999716,2013-09-08,70.3,クリキントン
12958,1,dirt,right,somewhat heavy,75.0,16,2,male/stallion,3,56.0,478.0,0.0,8,28.3,新開 幸一,C,-0.7000000000000028,2013-04-06,73.9,クリスウィング
10544,1,dirt,right,average,0.0,16,5,male/stallion,3,56.0,478.0,10.0,8,24.3,新開 幸一,A,-0.29999999999999716,2013-03-17,74.2,クリスウィング
34343,2,grass,right,somewhat heavy,0.0,18,2,female/mare,3,54.0,472.0,0.0,18,439.2,領家 政蔵,C,0.0,2013-09-01,72.1,クリスタトウショウ
27998,11,grass,right,average,3000.0,16,15,female/mare,2,54.0,426.0,8.0,1,2.1,斎藤 誠,B,-0.6000000000000085,2013-07-21,69.6,クリスマス
3071,3,dirt,left,somewhat heavy,0.0,14,5,male/stallion,5,54.0,510.0,28.0,7,16.8,武田 博,B,-1.2999999999999972,2013-01-26,73.4,クリスワールド
26798,7,dirt,left,somewhat heavy,0.0,16,7,male/stallion,5,54.0,506.0,-4.0,12,133.7,武田 博,C,-0.20000000000000284,2013-07-13,73.4,クリスワールド
21190,1,dirt,right,average,69.0,16,6,female/mare,3,54.0,424.0,-6.0,10,32.8,谷 潔,C,-0.8000000000000114,2013-06-01,74.0,クリノアマダブラム
34824,12,dirt,right,somewhat heavy,0.0,16,6,female/mare,3,52.0,438.0,6.0,16,244.3,谷 潔,C,-3.1000000000000085,2013-09-07,73.0,クリノアマダブラム
12993,3,dirt,right,somewhat heavy,0.0,16,1,female/mare,3,54.0,414.0,-8.0,11,94.6,石毛 善彦,C,-0.7000000000000028,2013-04-06,74.2,クリノアルプス
8331,5,grass,right,average,0.0,18,9,female/mare,3,54.0,422.0,8.0,18,328.1,石毛 善彦,D,-0.20000000000000284,2013-03-02,71.0,クリノアルプス
21643,7,grass,right,average,0.0,16,7,female/mare,3,54.0,412.0,4.0,16,239.3,田中 章博,C,-1.7000000000000028,2013-06-02,70.2,クリノアンデス
2534,1,dirt,right,average,50.0,16,9,female/mare,3,54.0,414.0,2.0,13,176.1,田中 章博,C,2.9000000000000057,2013-01-20,74.5,クリノアンデス
25909,1,grass,right,average,125.0,9,4,male/stallion,2,54.0,480.0,-2.0,7,34.1,高市 圭二,C,1.8999999999999915,2013-07-07,71.0,クリノエビスジン
27378,1,grass,right,average,50.0,9,1,male/stallion,2,54.0,480.0,0.0,6,15.3,高市 圭二,B,-1.0999999999999943,2013-07-20,71.8,クリノエビスジン
33451,2,grass,right,somewhat heavy,0.0,16,2,female/mare,2,54.0,434.0,2.0,14,190.9,田中 章博,C,4.200000000000003,2013-08-31,76.2,クリノクレオパトラ
22592,11,grass,right,average,144.0,12,11,female/mare,3,52.0,402.0,-4.0,3,5.3,天間 昭一,D,4.799999999999997,2013-06-15,68.5,クリノタカラチャン
2771,6,grass,right,average,175.0,16,14,female/mare,3,54.0,410.0,0.0,7,19.3,天間 昭一,B,-0.7999999999999972,2013-01-21,69.5,クリノタカラチャン
24107,12,grass,right,average,0.0,12,12,female/mare,3,51.0,404.0,2.0,1,4.1,天間 昭一,B,-0.3999999999999915,2013-06-23,69.3,クリノタカラチャン
8938,10,grass,right,average,340.0,18,6,female/mare,3,54.0,404.0,-2.0,4,11.5,天間 昭一,B,-0.5,2013-03-03,68.6,クリノタカラチャン
25030,9,grass,right,average,0.0,16,14,male/stallion,5,54.0,474.0,10.0,12,74.0,高市 圭二,B,-0.29999999999999716,2013-06-30,69.8,クリノトルネード
22568,9,grass,right,somewhat heavy,0.0,16,11,male/stallion,5,57.0,464.0,-12.0,8,19.2,高市 圭二,D,2.5999999999999943,2013-06-15,69.7,クリノトルネード
31904,3,grass,right,somewhat heavy,0.0,15,5,female/mare,3,54.0,462.0,4.0,11,60.0,南井 克巳,C,-6.5,2013-08-18,74.7,クリノバトゥーラ
22300,2,dirt,right,average,0.0,16,14,female/mare,3,54.0,464.0,4.0,10,47.7,南井 克巳,C,1.4000000000000057,2013-06-09,73.9,クリノバトゥーラ
35516,2,dirt,right,bad,0.0,16,10,male/stallion,2,54.0,432.0,-10.0,15,338.6,成島 英春,D,0.6000000000000085,2013-09-15,75.7,クリノパンテオン
33790,1,grass,right,bad,0.0,18,17,female/mare,2,54.0,430.0,6.0,15,297.3,梅内 忍,C,-3.200000000000003,2013-08-31,72.9,クリノプリムラ
31225,1,grass,right,average,0.0,13,1,female/mare,2,54.0,424.0,-12.0,6,30.6,梅内 忍,C,0.7000000000000028,2013-08-11,70.8,クリノプリムラ
1292,1,dirt,right,average,0.0,16,12,female/mare,3,54.0,436.0,-6.0,13,240.8,日吉 正和,C,0.8999999999999915,2013-01-13,75.4,クリノマナスル
108,7,dirt,right,average,0.0,15,2,female/mare,4,54.0,470.0,-11.0,12,78.7,本間 忍,C,0.6000000000000085,2013-01-05,75.6,クリノモンテローザ
14251,3,dirt,right,average,0.0,16,2,male/stallion,3,56.0,444.0,0.0,12,251.0,田中 章博,D,-1.0,2013-04-13,74.7,クリノロブソン
